Name,Type,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Rishabh Pant,Wicket-Keeper ,84,84,13,2498,128* v SRH,1,15,225,113,35.18,147.46,56,14,4,6,,,,,,,,,,,,
Rishi Dhawan,All-Rounder ,26,17,10,153,25* v CSK,0,0,13,4,21.85,113.33,6,0,2,1,25,81.2,1,640,18,2/14 v RCB,0,0,35.55,7.86,27.11,25
Riyan Parag,All-Rounder ,30,23,3,339,50 v DC,0,1,29,12,16.95,118.53,12,0,3,2,15,22.1,0,221,3,1/7 v PBKS,0,0,73.66,9.96,44.33,15
Robin Uthappa,Batsman ,193,186,17,4722,87 v RPS,0,25,462,168,27.94,130.15,87,32,7,9,,,,,,,,,,,,
Rohit Sharma,Batsman ,213,208,28,5611,109* v KKR,1,40,491,227,31.17,130.39,90,0,13,11,32,56.3,0,453,15,4/6 v MI,1,0,30.2,8.01,22.6,32
Romario Shepherd,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rovman Powell,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruturaj Gaikwad,Batsman ,22,22,4,839,101* v RR,1,7,80,29,46.61,132.12,10,0,2,1,,,,,,,,,,,,
B. Sai Sudharsan,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Billings,Wicket-Keeper ,22,19,0,334,56 v KKR,0,3,31,10,17.57,133.6,13,0,3,1,,,,,,,,,,,,
Sandeep Sharma,Bowler ,99,25,19,52,9 v RCB,0,0,4,0,8.66,81.25,12,0,9,1,99,366.2,8,2849,112,4/20 v DC,9,0,25.43,7.77,19.62,99
Sanjay Yadav,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanju Samson,Wicket-Keeper ,121,117,12,3068,119 v PBKS,3,15,236,132,29.21,134.2,59,10,8,6,,,,,,,,,,,,
Sarfaraz Khan,All-Rounder ,40,28,9,441,67 v CSK,0,1,50,11,23.21,138.24,6,0,4,1,1,0.2,0,6,0,0/6 v RCB,0,0,,18,,1
Saurabh Dubey,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
