Name,Type,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Specialism,Base Price,Sold Price,C/U,Country
Mayank Markande,Bowler ,18,8,27,0,0,3,0,9,93.1,3,0,2,0,18,53,0,453,16,1,0,28.31,8.54,19.87,18,BOWLER,0.5,0.65,1,1
Mayank Yadav,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.2,0,1
Mitchell Marsh,All-Rounder ,21,15,225,0,0,9,14,17.3,114.21,7,0,1,1,19,53.1,0,420,20,0,0,21,7.89,15.95,19,ALL-ROUNDER,2,6.5,1,0
Mitchell Santner,All-Rounder ,6,2,32,0,0,0,3,32,139.13,2,0,0,0,6,21,0,147,6,0,0,24.5,7,21,6,ALL-ROUNDER,1,1.9,1,0
Mohammad Nabi,All-Rounder ,17,14,180,0,0,16,9,15,151.26,11,0,0,1,17,57.1,0,408,13,0,0,31.38,7.13,26.38,17,ALL-ROUNDER,1,1,1,0
Mohammed Shami,Bowler ,77,23,69,0,0,5,2,6.27,94.52,11,0,7,2,77,278.2,1,2402,79,6,0,30.4,8.62,21.13,77,,,,,
Mohd. Arshad Khan,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Mohsin Khan,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.2,0,1
Mukesh Choudhary,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.2,0,1
Murugan Ashwin,Bowler ,34,8,23,0,0,1,0,3.83,63.88,7,0,1,1,34,112,0,881,26,2,0,33.88,7.86,25.84,34,BOWLER,0.2,1.6,0,1
Mustafizur Rahman,Bowler ,38,7,9,0,0,0,1,9,52.94,5,0,5,0,38,143,1,1121,38,3,0,29.5,7.83,22.57,38,BOWLER,2,2,1,0
N. Jagadeesan,Wicket-Keeper ,5,2,33,0,0,4,0,16.5,113.79,,,1,1,,,,,,,,,,,,WICKETKEEPER,0.2,0.2,0,1
N. Tilak Varma,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,1.7,0,1
Nathan Coulter-Nile,Bowler ,38,16,81,0,0,7,4,7.36,115.71,12,0,1,1,37,139.5,1,1052,48,5,0,21.91,7.52,17.47,37,BOWLER,2,2,1,0
Nathan Ellis,Bowler ,3,2,18,0,0,0,1,18,112.5,,,0,0,3,11,0,90,1,0,0,90,8.18,66,3,BOWLER,0.75,0.75,1,0
Navdeep Saini,Bowler ,28,6,31,0,0,3,0,10.33,88.57,6,0,1,0,28,97.4,1,828,17,0,0,48.7,8.47,34.47,28,BOWLER,0.75,2.6,1,1
Nicholas Pooran,Wicket-Keeper ,33,31,606,0,2,35,44,22.44,154.98,11,0,5,1,,,,,,,,,,,,WICKETKEEPER,1.5,10.75,1,0
Nitish Rana,All-Rounder ,77,71,1820,0,13,161,89,28.43,132.46,15,0,6,3,16,19.1,0,154,7,0,0,22,8.03,16.42,16,ALL-ROUNDER,1,8,1,1
Noor Ahmad,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.3,0.3,0,0
Obed McCoy,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odean Smith,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,1,6,1,0
Pat Cummins,All-Rounder ,37,26,316,0,2,19,20,19.75,140.44,7,0,4,0,37,139,1,1145,38,2,0,30.13,8.23,21.94,37,ALL-ROUNDER,2,7.25,1,0
Prabhsimran Singh,Wicket-Keeper ,5,5,50,0,0,4,2,10,90.9,2,0,0,0,,,,,,,,,,,,WICKETKEEPER,0.2,0.6,0,1
Pradeep Sangwan,All-Rounder ,39,14,24,0,0,1,0,3.42,61.53,6,0,6,1,39,133.4,1,1175,35,3,0,33.57,8.79,22.91,39,ALL-ROUNDER,0.2,0.2,0,1
Prashant Solanki,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,1.2,0,1
Prasidh Krishna,Bowler ,34,7,3,0,0,0,0,1.5,25,7,0,5,1,34,124.2,0,1152,30,2,0,38.4,9.26,24.86,34,BOWLER,1,10,1,1
Pratham Singh,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Pravin Dubey,All-Rounder ,3,1,7,0,0,0,0,,53.84,1,0,0,0,3,8,0,72,0,0,0,,9,,3,ALL-ROUNDER,0.2,0.5,0,1
Prerak Mankad,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Priyam Garg,Batsman ,19,15,205,0,1,11,7,14.64,110.81,6,0,2,1,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Quinton de Kock,Wicket-Keeper ,77,77,2256,1,16,230,83,31.33,130.93,53,14,3,3,,,,,,,,,,,,,,,,
R. Ashwin,All-Rounder ,167,63,456,0,0,37,12,11.12,109.88,37,0,15,5,164,583,4,4031,145,6,0,27.8,6.91,24.12,164,ALL-ROUNDER,2,5,1,1
R. Sai Kishore,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,3,0,1
R. Samarth,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
